[2025-06-27T22:08:28.986698] INFO: Starting server script: server.py on port 80
[2025-06-27T22:08:30.987353] INFO: Server started successfully
[2025-06-27T22:08:30.987662] INFO: Starting notify file check
[2025-06-27T22:08:30.987785] INFO: Started notify file monitoring thread
[2025-06-27T22:08:30.991376] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:08:30.991425] INFO: Completed notify file check
[2025-06-27T22:08:33.592483] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:08:35.991714] INFO: Starting notify file check
[2025-06-27T22:08:35.992054] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:08:35.992074] INFO: Completed notify file check
[2025-06-27T22:08:40.992354] INFO: Starting notify file check
[2025-06-27T22:08:40.992651] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:08:40.992706] INFO: Completed notify file check
[2025-06-27T22:08:42.650664] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:08:44.715597] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:08:45.992874] INFO: Starting notify file check
[2025-06-27T22:08:45.993478] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:08:45.993505] INFO: Completed notify file check
[2025-06-27T22:08:50.420282] INFO: Stopping server script
[2025-06-27T22:08:50.422128] INFO: Server stopped. stdout: , stderr: 
[2025-06-27T22:08:57.161420] INFO: Starting server script: server.py on port 80
[2025-06-27T22:08:59.162375] INFO: Server started successfully
[2025-06-27T22:08:59.162680] INFO: Started notify file monitoring thread
[2025-06-27T22:08:59.162694] INFO: Starting notify file check
[2025-06-27T22:08:59.163774] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:08:59.163827] INFO: Completed notify file check
[2025-06-27T22:09:04.164671] INFO: Starting notify file check
[2025-06-27T22:09:04.164951] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:09:04.165007] INFO: Completed notify file check
[2025-06-27T22:09:09.165307] INFO: Starting notify file check
[2025-06-27T22:09:09.165604] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:09:09.165626] INFO: Completed notify file check
[2025-06-27T22:09:14.165837] INFO: Starting notify file check
[2025-06-27T22:09:14.166205] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:09:14.166226] INFO: Completed notify file check
[2025-06-27T22:09:19.166722] INFO: Starting notify file check
[2025-06-27T22:09:19.167201] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:09:19.167223] INFO: Completed notify file check
[2025-06-27T22:09:24.168123] INFO: Starting notify file check
[2025-06-27T22:09:24.168586] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:09:24.168608] INFO: Completed notify file check
[2025-06-27T22:09:29.169090] INFO: Starting notify file check
[2025-06-27T22:09:29.169537] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:09:29.169587] INFO: Completed notify file check
[2025-06-27T22:09:34.169876] INFO: Starting notify file check
[2025-06-27T22:09:34.170404] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:09:34.170426] INFO: Completed notify file check
[2025-06-27T22:09:39.170678] INFO: Starting notify file check
[2025-06-27T22:09:39.171205] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:09:39.171225] INFO: Completed notify file check
[2025-06-27T22:09:44.171508] INFO: Starting notify file check
[2025-06-27T22:09:44.171957] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:09:44.171979] INFO: Completed notify file check
[2025-06-27T22:09:49.172383] INFO: Starting notify file check
[2025-06-27T22:09:49.172853] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:09:49.172874] INFO: Completed notify file check
